post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:mxdijt6chtvhx4zkizzbgybu/app.bsky.feed.post/3ldyqbuoy222d,bafyreibfwjwhwm3t2qyskdjh7k7fknulilzvrd2korm56cqujfpzkgxvg4,post,2024-12-23 20:08:33.853000+00:00,politifact4088,5,0,telesphorian.bsky.social,632,2500,
at://did:plc:2wvlto5b3ox4u5o2n2kgtrda/app.bsky.feed.post/3learv6gnp22g,bafyreigr23anq5sugpi5bssqqfsmis66rjvp725oa5zpz5sckacsramufy,post,2024-12-27 00:58:33.696000+00:00,politifact537,0,0,kendrick01.bsky.social,44,171,
at://did:plc:nphj4mp22ccn5czmjwzegtva/app.bsky.feed.post/3leakfw6htk25,bafyreidxfyot545x6sa6niwlr7ajcq2hzzm2ruvjlvymehcci7od6qig3y,post,2024-12-26 22:44:45.531000+00:00,politifact537,199,18,youranona.bsky.social,55256,29,
at://did:plc:5ql2gh5r45uz7nlss4ip4efk/app.bsky.feed.post/3lea2pmrits2n,bafyreidzsic7pa4h7qehmjnyr6khrs5ulxfaarlkz3gwmv7lllhdzqnblq,post,2024-12-26 18:03:51.339000+00:00,politifact537,1,0,stkildaseedlibrary.bsky.social,177,370,
at://did:plc:3uwsmjn4dhtqwmsdokhnerhf/app.bsky.feed.post/3le7lp25xlc2w,bafyreifxlbvngfcfh2itdpeftveqbl7s52bci7tum6vu2c7qsr443wqtny,post,2024-12-26 13:35:05.706000+00:00,politifact537,0,0,rbretired.bsky.social,82,68,
at://did:plc:dmnwtajxh3jqffaodj4nyrce/app.bsky.feed.post/3le6r553rq22s,bafyreignsg2nimcmvhas5kkp5rawqo7dmhm6wcypvqcfiuvrvji72hxmky,post,2024-12-26 05:39:47.513000+00:00,politifact537,3,0,magnificenttek.bsky.social,28,28,
at://did:plc:gucckdguoaofzx3af62c2xnb/app.bsky.feed.post/3le6gb5hzns2o,bafyreid532sohq4znryey7ux3evswv4g5t6dkw42llpgz5wdijfwuuqg7y,post,2024-12-26 02:25:10.963000+00:00,politifact537,1,0,a031r4in.bsky.social,95,126,
at://did:plc:fuwmgxazrnjr5bmlg4hfmhyu/app.bsky.feed.post/3le563m55w226,bafyreifc6iiinfolxj4qc5zxu4yczeg2bwkwodm3dstdkn365xy77bfriu,post,2024-12-25 14:26:15.343000+00:00,politifact537,0,0,kevinresearch.bsky.social,457,121,
at://did:plc:r5qxjwcob44s4dj5msjmagq2/app.bsky.feed.post/3le53uegi222j,bafyreidzv7sohtprolivt6dqly7j2ey5dwxm33hpsgxtqspshg5uxfgur4,post,2024-12-25 13:46:24.897000+00:00,politifact537,0,0,ultimate.dj,595,1851,
at://did:plc:fuh3d2b2evilvrveukgylmnh/app.bsky.feed.post/3le4a5tot6c2p,bafyreiftlpj2xhbssg7qvrui2siqu3jbgxgzcwji4sw7hbyiy7ufn6tqd4,post,2024-12-25 05:30:38.115000+00:00,politifact537,0,0,anonsayanything.bsky.social,136,240,
at://did:plc:csmezejojzt42jwaqu7q5bth/app.bsky.feed.post/3le3zpxumws2b,bafyreigthmy65h7q2mmgy7l6rz7t7vyiwhhcyrxv7sht3ho3xsswfr2hxy,post,2024-12-25 03:35:29.780083+00:00,politifact537,0,0,dracula-hourly.bsky.social,13,1,
at://did:plc:oj7wrws4lkxq3f4qi2kdcyoi/app.bsky.feed.post/3ld22eghgrc23,bafyreig6hx5iiifx35llgrcvmm2wjzcnqan5xcofd3yp7pvaoex6pmkzw4,post,2024-12-11 15:16:25.570000+00:00,politifact356,0,0,brightmeadow56.bsky.social,81,103,
at://did:plc:3jqqd2m3fohvi36ifcf2sryr/app.bsky.feed.post/3lcbu5lq6bz2e,bafyreigtzrn7rebp4olfxj5nnli7ivdorweqw6lh6zlvak2b6kwhm3kpva,post,2024-12-02 00:21:20.046000+00:00,politifact356,0,0,fortress-frederick.bsky.social,3131,8148,
at://did:plc:6zenl5wyjjhldl7cibq4onda/app.bsky.feed.post/3lbmjmf3xbk2x,bafyreielo5nayw7mptoynl3hwyltmikfvjpccgibo6toornsfnynrcj4kq,post,2024-11-23 12:46:50.742000+00:00,politifact356,1,0,lakehelms.bsky.social,95,349,
at://did:plc:ikae7nygc27rxy5kdwzdpxsd/app.bsky.feed.post/3lbkgkx3xxk2t,bafyreif3faz2civjcgshhabyfbcozczc6tjbb6qkypbch7qdiokpwuqupq,post,2024-11-22 16:47:01.804000+00:00,politifact356,1,1,draculasaurus.bsky.social,176,182,
at://did:plc:iggixslmyy6fe3ojr6qt5d5j/app.bsky.feed.post/3ky5mfibzdt2e,bafyreihquugym5gqjzcihxkrqguwq2ppixqvtpy5xvf3gcrrkurxcmlsnq,post,2024-07-26 01:40:01.718000+00:00,politifact356,0,0,rlstollar.bsky.social,4282,422,
at://did:plc:4o54f72fjxzjbmywxho4hb4s/app.bsky.feed.post/3kpy54fgojz2k,bafyreic7td45a4bb2xqmbobjwhyepgoakuxn5okgfsilnbqxhyvdpfgziu,post,2024-04-13 02:01:36.639000+00:00,politifact356,6,0,pnictogen-wing.bsky.social,549,335,
at://did:plc:mxcqg5v2wmjl5a4veuwmdagc/app.bsky.feed.post/3kmvhvq3pwq2t,bafyreideo2ijinfpmxic2gu2ydddyjxr4achzpkw2gyk73fmkhe46t2i2e,post,2024-03-04 20:21:09.843000+00:00,politifact356,0,0,skeiser.bsky.social,1457,1882,
at://did:plc:z254uofi4vube3kxofa5rhvh/app.bsky.feed.post/3klumlj6m7q2b,bafyreib66kbnyxccbn3tbusf5yeut2v6dn364dlf3nqabkljlgcirymomu,post,2024-02-20 18:47:04.444000+00:00,politifact356,2,0,drpwilliams.bsky.social,743,384,
at://did:plc:6pbytnhvpkcxwd47lljheopc/app.bsky.feed.post/3kav3myv6t42j,bafyreihjomykjpg3mvfsg2sohzdihasheesk3am5ppsm7vuw52gakbj4pm,post,2023-10-03 23:39:12.769000+00:00,politifact356,3,0,aliciakateheart.bsky.social,93,187,
at://did:plc:nzcjpprq6fwcdnwpc45e3gsd/app.bsky.feed.post/3ld2pensiwk2l,bafyreieadikpvvu6jyfokpouw3rpsq7gldfu2by62mulmwrni52n6mpdr4,post,2024-12-11 21:32:21.848000+00:00,politifact10209,74,16,craigipedia.bsky.social,2803,883,
at://did:plc:va4kbdu3rxlm33vcjnka2xmt/app.bsky.feed.post/3l2xy4mfl7n2o,bafyreigx5swj5h7woirt4jbcjkfbytucalwigtsozx7ytexdnn7mogs2by,post,2024-08-31 00:09:23.336000+00:00,politifact10209,2,1,mattgoldberg.bsky.social,2133,199,
at://did:plc:2fm7brozi5eg3tnihrv3hnpo/app.bsky.feed.post/3ku7k5xi25s22,bafyreiastudtzt6wcnm2lou7h44pu6s6m4shmwxbwpr4fwi4pdue7rzzsq,post,2024-06-05 22:24:32.584000+00:00,politifact10209,0,0,ernie888.bsky.social,582,762,
at://did:plc:3vpvnddquildo2t55ktzmka7/app.bsky.feed.post/3klruau7hdg2u,bafyreicmjnnnyb2argv227lc6n2qg5ru5q6hehrueza5se33t3iibby6x4,post,2024-02-19 16:26:17.954000+00:00,politifact10209,1,1,dansolomon.com,10918,702,
at://did:plc:cprxi3bvylajvrqvd6dd5qil/app.bsky.feed.post/3kaeijmc5ka2b,bafyreicstbe5m5ry6zuodlyhhhsssvyb6foaff36h3rffvtr5lelnx34je,post,2023-09-27 09:14:41.344000+00:00,politifact10209,0,0,opiniontoday.bsky.social,1716,907,
at://did:plc:cprxi3bvylajvrqvd6dd5qil/app.bsky.feed.post/3kadr5gilyk2d,bafyreicoa3rcinie5tt63k5aiebugxix7jvdkshbgqmso3o742ixvhmq3i,post,2023-09-27 02:16:16.221000+00:00,politifact10209,1,0,opiniontoday.bsky.social,1716,907,
at://did:plc:lvh3ifys5ncrqfyg643357gd/app.bsky.feed.post/3le6pp7yhgc2e,bafyreicbqjadgyuchujbmjze5d4s43qimnv74rd5apyuz7fmzziw3jan6e,post,2024-12-26 05:14:07.046000+00:00,politifact636,1,0,emparrot.com,1158,3714,
at://did:plc:3rdpf4aduq7ecnd4w5uevnwb/app.bsky.feed.post/3le5jm4eczs27,bafyreieiqcxi7kwmls4u73lc2bxevciikxtvpy44a3rjp4bl7l5ire63ve,post,2024-12-25 17:52:19+00:00,politifact636,0,0,pandemeet.bsky.social,276,541,
at://did:plc:ibssfw3yjwwfyspmeb6e7ctr/app.bsky.feed.post/3le3nq4z22p2z,bafyreif2a3sw2agkiy5d7qxnlt4ncedp3vvvyuvncabqcphbvlidj3o2se,post,2024-12-25 00:00:50.467142+00:00,politifact636,0,0,blue-resistance.bsky.social,437,814,
at://did:plc:uu72tklmsrdh3gnmublb2guf/app.bsky.feed.post/3le3kaeyia22p,bafyreifcj2z43wcmys6wg6yjtz5eagtweyslkj36fvihtpyoh2b5nvzo6m,post,2024-12-24 22:58:21.048000+00:00,politifact636,0,0,barbfroh.bsky.social,48,163,
at://did:plc:2vqrmxy3dpr5pgjrh7iai7hc/app.bsky.feed.post/3ldyoc6pbp22o,bafyreibehqa46efrhvxmlaap3acoog5ihp3peze2mgsxlfssxsof624eci,post,2024-12-23 19:32:57.317000+00:00,politifact636,0,0,chrisandra.bsky.social,98,61,
at://did:plc:ql6u65x5moadlc2yorkod32d/app.bsky.feed.post/3ldyf3gqils2b,bafyreif23sr2znwvdhnw2vxutu76b4qb4v57y3rdq7sa3fnvo2nwkslvum,post,2024-12-23 16:48:07.188000+00:00,politifact636,4,4,labornotes.bsky.social,2357,131,
at://did:plc:3cznp6g7isxt2tgwry7kagtw/app.bsky.feed.post/3ldx3scdy6k2q,bafyreibpm7wzt4irq7wmareax3icoen6qv2bntg2xaudflqqwzwozu6jha,post,2024-12-23 04:29:17.177000+00:00,politifact636,0,0,lynnemccartney.bsky.social,5441,633,
at://did:plc:3wjr5bi6z35fwxklsq3acq2u/app.bsky.feed.post/3ldwunfrjxs2d,bafyreiaqpgtxt2g7vmdwyxkcz2pbv7mvuwsfe76pvc6ni5u7c5p5uzyona,post,2024-12-23 02:21:16.803000+00:00,politifact636,3,0,equalityeranow.bsky.social,162,232,
at://did:plc:ibssfw3yjwwfyspmeb6e7ctr/app.bsky.feed.post/3ldwtiwu5yr2z,bafyreibs7n3ikmm6fwuyvqhhlnflqtn5iv27kbidkoculdpuypd26wrg4u,post,2024-12-23 02:00:53.051351+00:00,politifact636,0,0,blue-resistance.bsky.social,437,814,
at://did:plc:zjcv23zumtfww6bojascc4os/app.bsky.feed.post/3ldwldgfhfs2k,bafyreib5xdxxqonccjzmpq54tk5nrmq7ubuezlgy6avvgc2qylu54z3yya,post,2024-12-22 23:34:38.235000+00:00,politifact636,1,0,tanishaevonne.bsky.social,1903,344,
at://did:plc:xsvsexuduhwosggdtgr5lq7m/app.bsky.feed.post/3le65sszo3k2v,bafyreidyjvvrnbfnhjpcgkwsjsnd4ksytdwghhgz3li3vej44fgdjhwdc4,post,2024-12-25 23:54:00.319000+00:00,politifact442,2,0,transmascdruid.bsky.social,2242,1565,
at://did:plc:dubrtir74x3joej2wsftspis/app.bsky.feed.post/3le4suoragk22,bafyreih3uz22tfb7m5qxjui2cjwrbbgj5ghk5tzzfpyfxoonxu6t2r57ze,post,2024-12-25 11:05:32.058000+00:00,politifact442,4,0,anarcho-idk.bsky.social,275,525,
at://did:plc:2yivusch6hkgayez3s6gghb6/app.bsky.feed.post/3le3achytm22y,bafyreidv4gjaqlx6vq26tixkgr7etlhqgiuuot2xqr5l4yjeyir2zlggaa,post,2024-12-24 20:00:33.818000+00:00,politifact442,2,0,tabithabonilla.bsky.social,530,394,
at://did:plc:pvcxicdndphhuiqczyzu43dw/app.bsky.feed.post/3le2tmur6fc2n,bafyreia3q6rlnptta6vzu5cdovidyyhspnv6ejqrncqeta6etf74rajity,post,2024-12-24 16:13:44.177000+00:00,politifact442,3,1,rosesbloom24.bsky.social,4538,4469,
at://did:plc:ecgd5jwhlmg4csee6jjpavop/app.bsky.feed.post/3ldylixjgtl2x,bafyreif6w6ay6sev744fw6gewrhi7oxcj7tj4imushxlovq3wr6rute6yi,post,2024-12-23 18:43:03.407000+00:00,politifact442,2,0,tridang.bsky.social,87,239,
